invoice_number,total,customer_email
FAC/2018/0001,1146.84,ashley38@example.org
FAC/2018/0002,182.80,ameyer@example.com
FAC/2018/0003,152.98,phughes@example.com
FAC/2018/0004,292.16,danielledaniels@example.org
FAC/2018/0005,74.84,patriciakelley@example.org
FAC/2018/0006,183.93,stevenmyers@example.com
FAC/2018/0007,21.90,alan48@example.org
FAC/2018/0008,300.42,zobrien@example.com
FAC/2018/0009,705.89,rhonda02 xample.net
FAC/2018/0010,1812.66,stacey20 xample.com
FAC/2018/0011,770.31,allen85 xample.com
FAC/2018/0012,1411.81,udunn@example.net
FAC/2018/0013,493.15,cbecker@example.net
FAC/2018/0014,802.12,facobs@example.net
FAC/2018/0015,334.39,davidsonderek@example.org
FAC/2018/0016,465.67,anthony4@example.org
FAC/2018/0018,333.72,samanthadeleon@example.net
FAC/2018/0019,500.88,robertssarah@example.org
FAC/2018/0020,917.28,medonaldnicole@example.com
FAC/2018/0021,88.45,julie45@example.org
FAC/2018/0022,157.92,chloe40 xample.com
FAC/2018/0023,1364.02,jason?1 xample.net
FAC/2018/0024,146.75,xdunn@example.org
FAC/2018/0025,558.97,karen83 xample.com
FAC/2018/0026,118.56,mlittle@example.org
FAC/2018/0027,522.74,michelechapman@example.net
FAC/2018/0028,2667.03,kmartin@examplenet
FAC/2018/0029,118.09,omartin@example.com
FAC/2018/0030,1388.48,sharpsean@example.com
FAC/2018/0031,255.40,chris65 xample.com
FAC/2018/0032,291.34,zavalabrian@examplenet
FAC/2018/0033,1642.39,lopezkenneth@example.com
FAC/2018/0034,2254.54,maureenbailey@example.org
FAC/2018/0035,255.23,cyoung@example.com
FAC/2018/0036,551.00,castanedachristina@example.ore
FAC/2018/0037,63.78,woodbrandon@example.net
FAC/2018/0038,2480.98,pearsoneric@example.net
FAC/2018/0039,1048.42,williamperez@example. net
FAC/2018/0041,1492.65,gonzalesbarbara@examplenet
FAC/2018/0042,22.77,mlittle@example.org
FAC/2018/0043,1408.65,Isolis@example.org
FAC/2018/0044,782.10,edavies@example.ore
FAC/2018/0045,886.80,bradley23 xamplenet
FAC/2018/0046,574.72,keithsmith@example. org
FAC/2018/0047,269.79,miguelriley@example.net
FAC/2018/0048,650.61,kmartin@examplenet
FAC/2019/0001,1036.12,rimenez@example.org
FAC/2019/0002,124.16,medanielkatherine@example.net
FAC/2019/0003,76.35,xvargas@example.com
FAC/2019/0004,12.84,rebecca56 xample.net
FAC/2019/0005,115.36,victorolson@example.com
FAC/2019/0006,357.97,nathan77 xample.com
FAC/2019/0007,23.12,porteryolanda@example.net
FAC/2019/0008,1279.36,ihurley@example.com
FAC/2019/0009,384.09,yblack@example.org
FAC/2019/0010,148.58,marythompson@example.org
FAC/2019/0011,289.60,cbecker@example.net
FAC/2019/0012,197.92,christopher89 xample.net
FAC/2019/0013,150.04,larryaguirre@ example org
FAC/2019/0014,2088.80,sharpsean@example.com
FAC/2019/0015,79.00,woodbrandon@example.net
FAC/2019/0016,147.52,evanspatrick@example.com
FAC/2019/0017,13.43,craigionathan@example.org
FAC/2019/0018,149.85,heidianderson@example.com
FAC/2019/0019,885.82,ptaylor@example.ore
FAC/2019/0020,301.85,william72 xample.ore
FAC/2019/0021,2309.13,ngreene@example.net
FAC/2019/0022,484.27,nrosario@example.net
